question_title,question_author,question_date,question_content,url,scraped_at,answer_number,doctor_name,answer_date,answer_content
No Title,Anonymous,Unknown,"Alo, Dok. Jadi, sudah beberapa hari ini mata saya terasa nyeri setiap kali digerakkan, terutama saat melihat ke arah atas atau ke samping. Rasa sakitnya seperti ada tekanan dari dalam mata, tapi tidak terlalu tajam. Tidak ada kotoran mata berlebih atau kemerahan yang mencolok, hanya sedikit rasa pegal dan sensasi seperti mata lelah. Saya juga sempat demam ringan dua hari sebelumnya. Apakah kondisi seperti ini perlu diperiksa lebih lanjut?",https://www.alodokter.com/komunitas/topic/apa-penyebab-mata-terasa-nyeri-saat-digerakkan-tanpa-kemerahan-,2025-11-10T12:25:34.028445,1,dr. Riza Marlina,"4 November 2025, 09:36","Alo, terima kasih atas pertanyaanya, saya mengerti akan kekhawatiran anda, keluhan mata terasa sakit saat digerakan kondisi anda alami ini bisa disebabkan oleh berapa hal penyebab seperti :

• Mata kering

• Adanya suatu kondisi penegangan pada otot mata

• Infeksi pada mata

Untuk lebih memastikan kemungkinan penyebab keluhan mata anda alami ini, maka anda bisa temui dokter secara langsung agar dilakukan pemeriksaan lebih lanjut seperti pemeriksaan fisik pada mata hingga pemeriksaan lebih lanjut jika diperlukan. Secara mandiri yang bisa anda lakukan untuk mengurangi keluhan ada berapa hal seperti :

• Kompres hangat atau dingin pada mata yang sakit

• Hindari paparan sinar matahari dan lampu yang terlalu terang

• Gunakan kacamata saat keluar rumah

Untuk penanganan lebih lanjut anda bisa temui dokter secara langsung ya.

Semoga dapat membantu"
No Title,Anonymous,Unknown,"Â

Dokter, Sudah beberapa minggu ini saya perhatikan area di sekitar kelopak mata saya terlihat menghitam, padahal saya tidak memakai riasan apa pun dan tidak sedang sakit. Awalnya saya kira cuma karena kurang tidur, tapi setelah jam tidur saya cukup pun warnanya tetap tidak hilang. Saya juga tidak merasa nyeri atau gatal, hanya saja penampilannya jadi terlihat seperti mata panda dan agak kusam. Apakah kondisi kelopak mata yang menghitam ini bisa disebabkan oleh masalah kesehatan tertentu, atau hanya karena faktor kelelahan dan gaya hidup?",https://www.alodokter.com/komunitas/topic/apakah-kelopak-mata-menghitam-menandakan-masalah-kesehatan-,2025-11-10T12:25:37.915535,1,dr. Riza Marlina,"31 Oktober 2025, 14:08","Alo, terima kasih atas pertanyaanya, saya mengerti akan kekhawatiran anda, dimana kelopak mata hitam tentu membuat wajah tampak kusam, lesu dan tampak lebih tua hal ini tentu membuat anda merasa tidak nyaman dan menurunkan rasa percaya diri, jadi cukup menganggu dalam estetik sehingga anda ingin mengatasi kondisi ini segera agar tidak menganggu penampilan anda. Nah Sebelumnya anda harus ketahui dulu penyebab kelopak mata hitam ini ada beragam hal seperti :

• Kurang tidur atau kelelahan paling sering karena kondisi ini dapat membuat pembuluh darah dibawah kulit kelopak mata melebar sehingga warna kehitamn tampak lebih jelas

• Penuaan yaitu seiring bertambahnya usia, kulit disekitar mata semakin menipis dan lapisan lemak berkurang, elastistas kulit pun menurun nah kombinasi perubahan ini membuat pembuluh darah dibawah kulit lebih mudah terlihat sehingga kelopak mata tampak lebih gelap

• Paparan sinar matahari berlebihan

• Kekurangan cairan

• Faktor genetik

Nah untuk kondisi anda ini bisa tangani secara mandiri terlebih dahulu dan harus sabar ya butuh waktu, ada beberapa tips yang bisa anda lakukan untuk mengatasi mata panda ini seperti :

• Tidur yang cukup dan teratur setidaknya 7-8 jam per hari

• Kompres dingin kelopak mata selama 10-15 menit guna meredakan peradangan dan melancarkan aliran darah di sekitar kelopak mata

• Gunakan eye cream dengan kandungan retinol, vitamin c atau kafein

• Gunakan tabir surya wajah dengan SPF minimal 30

• Gunakan masker mata yang mengandung bahan pencerah seperti niacinamide, vitamin c atau retinol

• Hindari paparan sinar matahari berlebihan dengan menggunakan kacamata antiradiasi

Jika sudah melalukan tips diatas, keluhan mata hitam ini tidak juga menghilang atau justru semakin berat disertai dengan gejala lain seperti mata gatal, berair, terasa perih dan lainnya maka anda bisa temui dokter secara langsung untuk mendapatkan pemeriksaan dan penanganan lebih lanjut dengan tepat.

Semoga dapat membantu"
No Title,Anonymous,Unknown,"Â

Pagi, Dokter. Beberapa hari terakhir saya menyadari ada bintik putih kecil di bagian putih mata kanan saya. Awalnya saya kira cuma pantulan cahaya, tapi setelah saya perhatikan lagi, bintiknya tetap ada dan tidak hilang meski sudah saya tetesi obat tetes mata biasa. Mata saya juga terasa agak kering dan sedikit perih kalau kena cahaya terang. Apakah bintik putih seperti ini berbahaya, dan apa penyebabnya bisa muncul di dalam mata?",https://www.alodokter.com/komunitas/topic/apakah-bintik-putih-di-bola-mata-bisa-berbahaya-bagi-penglihatan-,2025-11-10T12:25:42.068067,1,dr. Nadia Nurotul Fuadah,"31 Oktober 2025, 09:51","Alo, terimakasih atas pertanyaannya.

Bintik keputihan di sklera (bagian putih mata) yang menjadikan mata terasa kering dan perih saat terpapar cahaya terang besar kemungkinan muncul akibat pinguecula. Kondisi ini timbul akibat proliferasi konjungtiva (selaput bening mata) berlebihan, yang dipicu oleh penuaan serta pajanan berulang udara kering, debu, dan sinar UV.

Selain pinguecula, bintik putih di sklera Anda mungkin juga muncul karena pencetus lain, misalnya pterygium, pseudopterygium, white conjunctival nevus, katarak, keratitis, corpus alienum (kemasukan benda asing), bahkan mungkin kanker.

Guna memastikan hal ini, Anda bisa jelaskan detail keluhan Anda pada dokter kami di Aplikasi Alodokter atau kunjungilah dokter mata terdekat. Jika benar penyebanya adalah pinguecula, maka umumnya kondisi ini tidaklah berbahaya.

Untuk sementara waktu, penanganan awal berikut bisa Anda lakukan di rumah:

• Jaga mata Anda agar bersih

• Hindari mengucek-ngucek mata berlebihan

• Rajinlah meneteskan air mata buatan (artificial tears) agar mata tidak kering dan mereda iritasinya

• Saat beraktifitas di luar ruangan, terutama di lingkungan yang silau, berdebu, dan berangin, lindungi mata Anda menggunakan kacamata anti UV

Semoga membantu ya.."
No Title,Anonymous,Unknown,"Hai, mau tanya ya. Mata kanan saya akhir-akhir ini sering terasa perih dan gampang merah, apalagi kalau habis kena angin atau kelamaan depan layar. Kadang-kadang juga pandangan jadi agak blur sebentar, terus balik lagi normal. Saya jadi kepikiran, ini termasuk jenis penyakit mata yang mana ya? Soalnya teman saya bilang gejala kayak gitu bisa beda-beda tergantung penyebabnya, bisa karena kering, infeksi, atau gangguan lainnya. Saya jadi bingung, kira-kira harus periksa ke dokter mata atau bisa ditangani dulu di rumah?",https://www.alodokter.com/komunitas/topic/apa-penyebab-mata-sering-perih--merah--dan-pandangan-kadang-buram-,2025-11-10T12:25:45.479323,1,dr. Riza Marlina,"15 Oktober 2025, 15:46","Alo, selamat sore

Keluhan mata merah penyebabnya ada beragam hal seperti iritasi, infeksi dan mata kering. Untuk kondisi anda sepertinya mengarah sindrom mata kering yaitu kondisi ketika mata tidak mendapatkan pelumas yang cukup dari air mata yang dapat menyebabkan rasa tidak nyaman di mata bahkan bisa merusak lapisan bening di bola mata yang berakibat pada gangguan pengelihatan. Ada beberapa kondisi yang dapat menyebabkan mata kering salah satunya peningkatan penguapan air mata akibat cuaca kering atau berangin, polusi udara serta kondisi yang membuat mata jarang berkedip misalnya ketika bekerja terlalu lama di depan layar komputer.

Untuk mengatasi kondisi ini ada beberapa tips yang bisa anda lakukan seperti :

• Melindungi mata dari lingkungan yang menyebabkan mata kering seperti cuaca berangin, cuaca kering, berasap dan berdebu dengan menggunakan kacamata

• Menghindari pemakaian riasan pada mata

• Mengatur waktu kerja di depan layar komputer dengan aturan 20-20-20 yaitu setiap 20 menit lihat objek sejauh 20 kaki selama 20 detik

• Berhenti melihat layar komputer selama 15 menit apabila telah menatap layar selama 2 jam

• Usahakan untuk lebih sering berkedip dan gunakan tetes mata yang mengandung air mata buatan jika mata terasa kering

• Karena saat ini kondisi keluhan mata anda dicurigai mengarah kondisi mata kering anda bisa atasi menggunakan obat tetes mata mengandung air mata buatan yang bisa anda dapat di apotik

Jika penanganan mandiri tidak membantu juga, keluhan anda justru semakin berat maka anda bisa temui dokter mata secara langsung untuk mendapatkan pemeriksaan dan penanganan lebih lanjut.

Semoga dapat membantu"
No Title,Anonymous,Unknown,"Hai dok, saya mau tanya. Belakangan ini mata saya sering buram dan agak susah lihat jelas pas menjelang maghrib atau waktu-waktu sore ke malam. Kalau siang hari sih nggak masalah, tapi begitu cahaya mulai redup, langsung terasa beda banget penglihatannya. Saya jadi agak khawatir, apalagi kalau harus nyetir pas malam. Kira-kira itu termasuk rabun senja ya dok? Dan penyebabnya biasanya apa ya? Apakah karena kekurangan vitamin atau ada gangguan lain di mata?",https://www.alodokter.com/komunitas/topic/apa-penyebab-rabun-senja-dan-bagaimana-cara-mengetahuinya,2025-11-10T12:25:48.880841,1,dr. Nadia Nurotul Fuadah,"26 September 2025, 14:37","Alo, terimakasih atas pertanyaannya.

Rabun senja adalah istilah awam untuk nyctalopia, yakni suatu gangguan mata yang menjadikan penderitanya sulit melihat di malam hari atau di lingkungan yang gelap. Nyctalopia disebabkan utamanya akibat kerusakan sel batang retina, misalnya terkait defisiensi vitamin A, katarak, glaukoma, keratokonus, retinitis pigmentosa, atau miopia. Diagnosis penyakit ini berikut penyebabnya tidak bisa dibuat sembarangan, melainkan harus melalui beragam pemeriksaan yang komprehensif, termasuk pemeriksaan visus mata, pemeriksaan lapang pandang, tes refleks pupil terhadap cahaya, tes buta warna, pemeriksaan dengan slit lamp dan opthalmoscopy, tes darah, hingga pemeriksaan elektroretinogram.

Selain rabun senja, keluhan yang Anda alami mungkin pula timbul akibat pencetus lain, misalnya miopia, astigmatisme, hipermetropia, asthenopia, katarak, glaukoma, keratitis, uveitis, dan sebagainya.

Guna membedakan penyebab keluhan Anda, silakan kunjungi dokter mata terdekat. Untuk saat ini, beberapa langkah berikut bisa dilakukan:

• Atur jarak pandang dan pencahayaan ruangan agar cukup saat beraktifitas dengan layar, membaca, menjahit, dan melakukan aktifitas lain yang membutuhkan fokus mata tinggi

• Batasi kebiasaan begadang

• Hindari berkendara di sore hingga malam hari

• Bijak dalam menggunakan gawai

• Konsumsi makanan yang mengandung tinggi vitamin A dan gizi seimbang

Semoga membantu ya.."
No Title,Anonymous,Unknown,"Dok, saya mau tanya. Setiap kali bangun tidur, mata kanan saya sering merah dan terasa agak perih, terutama bagian putih matanya. Kondisinya sudah berlangsung sekitar seminggu ini. Biasanya merahnya hilang sendiri beberapa jam setelah bangun, tapi besok paginya muncul lagi. Tidak ada belekan berlebihan, tapi kadang terasa seperti ada pasir di mata. Saya tidak pakai lensa kontak, dan belum pakai obat apa-apa. Apakah ini gejala mata kering, atau ada infeksi ringan? Apa yang sebaiknya saya lakukan ya, dok?",https://www.alodokter.com/komunitas/topic/mengapa-mata-terasa-perih-dan-merah-saat-pagi-hari-,2025-11-10T12:25:52.773997,1,dr. Riza Marlina,"25 September 2025, 10:44","Alo, selamat pagi

Keluhan mata merah setelah bangun tidur kondisi ini dapat disebabkan oleh beragam hal seperti iritasi, infeksi dan mata kering. Namun dari gejala anda alami seperti mengalami mata kering dimana mata kering ialah kondisi ketika mata tidak mendapatkan pelumas yang cukup dari air mata hal ini bisa terjadi akibat anda terlalu lama menatap layar gadget dan membaca sehingga kurang berkedip atau saat tidur mata tidak tertutup sempurna akibatnya air mata menguap lebih cepat karena mata terpapar udara sehingga permukaan mata menjadi kering.

Untuk kondisi anda alami ini biasa atasi secara mandiri terlebih dahulu dengan cara :

• Gunakan pelembab atau penyaring udara di dalam ruangan kamar

• Gunakan penutup mata khusus saat tidur

• Gunakan obat tetes mata mengandung air mata buatan yang dapat anda beli bebas di apotik

• Menggunakan kacamata untuk melindungi mata saat keluar rumah

• Hindari terlalu lama mentap layar gadget

Jika penanganan mandiri ini tidak membantu juga, anda bisa konsultasi dengan dokter mata melalui chat via aplikasi Alodokter untuk mendapatkan penanganan lebih lanjut.

Semoga dapat membantu"
No Title,Anonymous,Unknown,"Dok, saya pakai softlens hampir setiap hari untuk ke kantor, biasanya sekitar 8â10 jam. Belakangan ini, mata saya sering merah dan terasa gatal saat softlens dilepas. Bahkan setelah cuci tangan dan cuci softlens dengan cairan khusus pun masih begitu. Kadang juga keluar kotoran putih dari sudut mata. Saya jadi takut ini tanda infeksi. Haruskah saya berhenti dulu pakai softlens dan periksa ke dokter mata?",https://www.alodokter.com/komunitas/topic/bolehkah-pakai-softlens-setiap-hari-selama-10-jam-,2025-11-10T12:25:56.949238,1,dr. Riza Marlina,"24 September 2025, 15:05","Alo, selamat siang

Lensa kontak banyak dipilih karena dapat menghindati penggunaan kacamata dan juga memperindah mata. Namun jika tidak digunakan dan dirawat dnegan baik lensa kontak justru bisa meningkatkan resiko terjadinya masalah pada mata seperti infeksi mata dan luka pada kornea. Beberapa resiko penggunana lensa kontak yang tidak tepat seperti :

• Konjungtivitis yaitu peradangan atau infeksi pada selaput yang melapisi kelopak mata dan menutupi bagian putih bola mata kondisi ini bisa disebabkan oleh iritasi dan infeksi

• Mata kering

• Keratitis atau radang kornea

Untuk kondisi mata anda sebaiknya konsultasi lebih lanjut ke dokter mata saja ya agar dapat dipastikan penyebabnya sehingga bisa ditangani dengan tepat. Untuk saat ini sebaiknya anda tidak menggunakan lensa kontak gunakan kacamata saja serta bisa gunakan obat tetes mata mengandung air mata buatan. Untuk penanganan lebih lanjut tetap saya anjurkan ke dokter secara langsung ya.

Semoga dapat membantu"
No Title,Anonymous,Unknown,"Dok, saya mau tanya. Ibu saya berusia 67 tahun dan akhir-akhir ini sering mengeluhkan penglihatannya makin kabur, terutama saat malam hari atau ketika membaca. Ia juga bilang seperti ada lapisan putih yang menghalangi pandangan, dan kadang melihat cahaya seperti berpendar. Kami belum membawanya periksa mata, tapi saya khawatir ini katarak. Apa benar ciri-cirinya seperti itu? Dan kapan sebaiknya kami mulai mempertimbangkan operasi?",https://www.alodokter.com/komunitas/topic/kapan-katarak-perlu-dioperasi-,2025-11-10T12:26:00.802144,1,dr. Riza Marlina,"24 September 2025, 14:08","Alo, selamat siang

Katarak ialah gangguan pengelihatan yang disebabkan oleh keruhnya lensa mata yang dimana kondisi ini dapat menyebabkan pengelihatan kabur yang umumnya terjadi akibat pertambahan usia. Katarak ialah bagian dari sindrom geriatri seiring bertambahnya usia, protein pada lensa mata akan menggumpal dan secara perlahan membuat lensa menjadi keruh dan berkabut. Beberapa gejala katarak yang sering terjadi yaitu :

• Pandangan samar dan berkabut

• Mata sensitif saat melihat cahaya

• Muncul lingkar cahaya (halo) saat melihat sumber cahaya

• Kesulian melihat dengan jelas pada malam hari

Sebaiknya untuk ibu anda periksa ke dokter mata saja untuk lebih memastikan penyebab mata kabur yang dialami ya, agar diberikan penanganan yang lebih tepat, jika memang akibat katarak penanganan yang dilakukan berupa operasi ya bisa segera dilakukan, jika hanya gangguan refraksi mata bisa cukup gunakan kacamata. Secara mandiri yang bisa dilakukan ialah :

• Menggunakan lampu rumah yang lebih terang terutam saat membaca

• Menghindari berkendaraan saat malam hari

• Mengenakan kacamata antisilau saat aktivitas siang hari

Semoga dapat membantu"
No Title,Anonymous,Unknown,"Saya sudah pakai kacamata sejak SMP karena mata minus. Sekarang usia saya 27 tahun, dan minus saya rasanya makin tinggi setiap kali periksa mata. Saya juga kerja seharian di depan laptop, kadang suka terasa pegal dan buram kalau lihat jauh. Saya pernah dengar kalau ada terapi mata atau konsumsi vitamin tertentu yang bisa bantu mengurangi minus. Tapi saya bingung, apakah memang ada cara supaya minus bisa berkurang, atau setidaknya nggak makin parah? Soalnya saya pengin banget suatu hari bisa lepas dari kacamata.",https://www.alodokter.com/komunitas/topic/bisakah-mata-minus-kembali-normal-tanpa-operasi-,2025-11-10T12:26:04.177201,1,dr. Riza Marlina,"22 September 2025, 17:19","Alo, selamat sore

Mata minus atau miopi terjadi karena ukuran bola mata yang terlalu panjang atau kornea terlalu melengkung sehingga cahaya dari suatu objek yang masuk ke mata tidak terfokus dengan baik ke retina akibatnya pengelihatan jarak jauh menjadi buram. Belum diketahui sedara pasti apa penyebab berubahnya struktur mata yang menyebabkan mata minus namun ada beberapa faktor yang meningkatkan resiko terjadinya mata minus seperti :

• Faktor genetik

• Kebiasaan melihat layar gadget terlalu lama

• Jarang beraktivitas di luar rumah

Untuk mengurangi mata minus yang bisa anda lakukan ialah menggunaka kacamata atau kontak lensa hingga operasi. Untuk obat tetes mata atau minum vitamin tidak bisa membantu mengurangi mata minus ya, atau konsumsi obat herbal dan lain-lainnya tidak bisa mengatasi mata minus ini hanya mitos belaka. Sebaiknya tangani mata minus anda dengan tetap menggunakan kacamata atau operasi konsultasi lebih lanjut ke dokter mata anda ya, dan sebaiknya hindari kebiasaan melihat gadget terlalu lama serta setidaknya ada kegiatan melakukan aktivitas diluar ruangan agar keluhan mata anda tidak semakin buruk.

Semoga dapat membantu"
No Title,Anonymous,Unknown,"Dokter, saya mau bertanya. Jadi, saya baru sadar ada bintik hitam kecil di bagian putih mata saya, letaknya agak dekat dengan bagian dalam mata. Awalnya saya kira cuma kotoran biasa, tapi setelah saya cuci tetap tidak hilang. Bintiknya nggak sakit dan nggak mengganggu penglihatan, tapi saya jadi agak khawatir karena sebelumnya nggak pernah ada. Apakah ini sesuatu yang normal atau perlu saya periksa ke dokter mata? Apakah bisa jadi tanda awal penyakit mata tertentu?",https://www.alodokter.com/komunitas/topic/kenapa-ada-bintik-hitam-kecil-di-bagian-putih-mata-,2025-11-10T12:26:07.520389,1,dr. Riza Marlina,"16 September 2025, 09:34","Alo, selamat pagi

Bintik hitam di bagian putih mata kondisi ini bisa disebut dengan nevus yaitu terbentuknya sel penghasil melanin serupa seperti tahi lalat pada kulit yang umumnya tidak berbahaya, nah jika bintik hitam terdapat di bagian putih mata kondisi ini disebut dengan nevus konjungtiva yaitu bintik yang terbentuk pada konjungtiva yakni jaringan bagian putih mata atau sklera dimana nevus ini berkembang ketika sel penghasil melanin mulai menggumpal. Nevus ini terjadi diduga akibat faktor paparan sinar ultraviolet.

Secara umum bintik hitam ini tidak menimbulkan resiko kesehatan apapun salam tidak disertai gejala gangguan mata seperti nyeri, bintik hitam yang semakin besar, gangguan pengeihatan dan lainnya. Jadi tidak diperlukan penanganan apapun, anda cukup amati saja jika ada perubahan kondisi yang menimbulkan gejala menganggu segera temui dokter mata agar dapat diperiksa dan ditangani lebih lanjut. Untuk saat ini sambil diamati sebaiknya juga anda menggunakan kacamata hitam saat keluar ruangan serta gunakan kacamata antiradiasi saat menatap layar leptop dalam waktu lama.

Semoga dapat membantu"
